Localidade de aplicação do recurso;Ano da Emenda;Tipo de Emenda;Autor da Emenda;Número da Emenda;Código da Emenda;Favorecido;UF DO FAVORECIDO;MUNICÍPIO DO FAVORECIDO;UG;Órgão;Órgão Superior;Grupo de Despesa;Elemento de Despesa;Modalidade de Despesa;Plano Orçamentário;Programa Orçamentário;Ação Orçamentária;Subtítulo (Localizador);Função (Área de Atuação);Subfunção (Especificação da Área de Atuação);Possui Convênio?;Valor Empenhado;Valor Pago;Parlamentar_Limpo;codigo_ibge_mapa;codigo_ibge_ips;faixa_prioridade;QT_VOTOS;municipio;municipio_normalizado;tipo_destinacao;idhm;ivs;deficit_idhm;ips_prioridade;tipo_registro;fonte_territorializacao;status_reconciliacao;linhas_pagamento;codigos_distintos;parlamentares_distintos;observacao_metodologica
NOVO HAMBURGO - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;NOVO HAMBURGO;;;;;;;;;;;;;;0.0;1398000.0;ZUCCO;4313409;4313409;Baixa Prioridade;18564.0;NOVO HAMBURGO;NOVO HAMBURGO;Municipal;0.747;0.195;0.253;0.224;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CANOAS - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;CANOAS;;;;;;;;;;;;;;0.0;1391000.0;ZUCCO;4304606;4304606;Média Prioridade;11064.0;CANOAS;CANOAS;Municipal;0.75;0.25;0.25;0.25;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BENTO GONÇALVES - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;BENTO GONÇALVES;;;;;;;;;;;;;;0.0;1381460.96;MAURICIO MARCON;4302105;4302105;Baixa Prioridade;2627.0;BENTO GONÇALVES;BENTO GONCALVES;Municipal;0.778;0.124;0.2219999999999999;0.173;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
GUAPORÉ - RS;2025;Pagamento detalhado municipalizado;MAURICIO MARCON;;Agregado municipal — 2 código(s);Agregado de 1 favorecido(s);RS;GUAPORÉ;;;;;;;;;;;;;;0.0;1301952.0;MAURICIO MARCON;4309407;4309407;Baixa Prioridade;967.0;GUAPORÉ;GUAPORE;Municipal;0.765;0.204;0.235;0.2194999999999999;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;3.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BENTO GONÇALVES - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 2 código(s);Agregado de 1 favorecido(s);RS;BENTO GONÇALVES;;;;;;;;;;;;;;0.0;1300000.0;ZUCCO;4302105;4302105;Baixa Prioridade;4393.0;BENTO GONÇALVES;BENTO GONCALVES;Municipal;0.778;0.124;0.2219999999999999;0.173;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
VERANÓPOLIS - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 2 código(s);Agregado de 2 favorecido(s);RS;VERANÓPOLIS;;;;;;;;;;;;;;0.0;1272000.0;DANRLEI DE DEUS HINTERHOLZ;4322806;4322806;Baixa Prioridade;4887.0;VERANÓPOLIS;VERANOPOLIS;Municipal;0.773;0.119;0.2269999999999999;0.173;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CRISSIUMAL - RS;2025;Pagamento detalhado municipalizado;DANRLEI DE DEUS HINTERHOLZ;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CRISSIUMAL;;;;;;;;;;;;;;0.0;1188000.0;DANRLEI DE DEUS HINTERHOLZ;4306007;4306007;Média Prioridade;4378.0;CRISSIUMAL;CRISSIUMAL;Municipal;0.712;0.212;0.288;0.25;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
CACHOEIRA DO SUL - RS;2025;Pagamento detalhado municipalizado;HEITOR SCHUCH;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;CACHOEIRA DO SUL;;;;;;;;;;;;;;0.0;1000000.0;HEITOR SCHUCH;4303004;4303004;Baixa Prioridade;1460.0;CACHOEIRA DO SUL;CACHOEIRA DO SUL;Municipal;0.742;0.203;0.258;0.2305;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
SAPUCAIA DO SUL - RS;2025;Pagamento detalhado municipalizado;ZUCCO;;Agregado municipal — 2 código(s);Agregado de 1 favorecido(s);RS;SAPUCAIA DO SUL;;;;;;;;;;;;;;0.0;1000000.0;ZUCCO;4320008;4320008;Média Prioridade;2390.0;SAPUCAIA DO SUL;SAPUCAIA DO SUL;Municipal;0.726;0.277;0.274;0.2755;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;2.0;2.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
BAGÉ - RS;2025;Pagamento detalhado municipalizado;FERNANDA MELCHIONNA;;Agregado municipal — 1 código(s);Agregado de 1 favorecido(s);RS;BAGÉ;;;;;;;;;;;;;;0.0;1000000.0;FERNANDA MELCHIONNA;4301602;4301602;Média Prioridade;1017.0;BAGÉ;BAGE;Municipal;0.74;0.236;0.26;0.248;pagamento_municipalizado;Localidade de aplicação do recurso informada como município do RS;Agregado municipalizado por parlamentar/município;1.0;1.0;1;Valor proveniente dos CSVs detalhados por Código da Emenda. Entra no mapa municipal porque a Localidade de aplicação do recurso está explicitamente informada como município do RS.
