Parlamentar_Limpo;codigo_emenda;numero_emenda;tipo_emenda;tipo_transferencia;localidade_aplicacao;tipo_localidade_aplicacao;municipio;municipio_normalizado;uf_localidade;valor_pago;programa_orcamentario;acao_orcamentaria;plano_orcamentario;funcao_area_atuacao;subfuncao_area_atuacao;modalidade_despesa;documento;favorecido;status_reconciliacao;ajuste_negativo;valor_zero
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;RIO GRANDE - RS;Municipal;RIO GRANDE;RIO GRANDE;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB005525;88.566.872/0001-62 - MUNICIPIO DO RIO GRANDE;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;ANTÔNIO PRADO - RS;Municipal;ANTÔNIO PRADO;ANTONIO PRADO;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007678;87.842.233/0001-10 - MUNICIPIO DE ANTONIO PRADO;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;PAULO BENTO - RS;Municipal;PAULO BENTO;PAULO BENTO;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007680;04.215.168/0001-75 - MUNICIPIO DE PAULO BENTO;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;BARRA DO RIO AZUL - RS;Municipal;BARRA DO RIO AZUL;BARRA DO RIO AZUL;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007681;93.539.153/0001-92 - MUNICIPIO DE BARRA DO RIO AZUL;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;SERAFINA CORRÊA - RS;Municipal;SERAFINA CORRÊA;SERAFINA CORREA;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007682;88.597.984/0001-80 - MUNICIPIO DE SERAFINA CORREA;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;CAXIAS DO SUL - RS;Municipal;CAXIAS DO SUL;CAXIAS DO SUL;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007683;88.830.609/0001-39 - MUNICIPIO DE CAXIAS DO SUL;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;FAGUNDES VARELA - RS;Municipal;FAGUNDES VARELA;FAGUNDES VARELA;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007684;91.566.893/0001-92 - MUNICIPIO DE FAGUNDES VARELA;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;BALNEÁRIO PINHAL - RS;Municipal;BALNEÁRIO PINHAL;BALNEARIO PINHAL;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007685;01.611.339/0001-97 - MUNICIPIO DE BALNEARIO PINHAL;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;SANTANA DA BOA VISTA - RS;Municipal;SANTANA DA BOA VISTA;SANTANA DA BOA VISTA;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB007686;88.141.460/0001-80 - MUNICIPIO DE SANTANA DA BOA VISTA;Bate com Valor Pago geral;False;False
DANRLEI DE DEUS HINTERHOLZ;202528610007;0007;Emenda Individual - Transferências Especiais;Transferência Especial;NOVA BASSANO - RS;Municipal;NOVA BASSANO;NOVA BASSANO;RS;198000.0;0903 - OPERACOES ESPECIAIS: TRANSFERENCIAS CONSTITUCIONAIS E AS DECORRENTES DE LEGISLACAO ESPECIFICA;0EC2 - TRANSFERENCIAS ESPECIAIS;0000 - TRANSFERENCIAS ESPECIAIS - DESPESAS DIVERSAS;28 - Encargos especiais;845 - Outras transferências;40 - Transferências a Municípios;170860000012025OB009287;87.502.894/0001-04 - MUNICIPIO DE NOVA BASSANO;Bate com Valor Pago geral;False;False
